"campaign_id","name","metric","cost_values","click_values","impressions_values","paid_revenue_values","paid_orders_values","paid_conversions_values"
"193346537790773","Poncho","Max","16.23","52","19957","298.51","15","13"
"193346537790773","Poncho","Mean","5.2","15.77","8424.94","55.87","2.39","2.32"
"193346537790773","Poncho","Min","0.95","4","2017","0","0","0"
"193346537790773","Poncho","Sum","161.16","489","261173","1732.04","74","72"
"61831405785792","Towel","Max","13.77","40","16483","123.51","4","4"
"61831405785792","Towel","Mean","3.34","10","3710.74","36.64","1.22","1.17"
"61831405785792","Towel","Min","0.42","2","503","0","0","0"
"61831405785792","Towel","Sum","76.76","230","85347","842.7","28","27"
"64741409832403","Bathrobe","Max","1.93","8","765","63.51","2","2"
"64741409832403","Bathrobe","Mean","0.77","3","433.91","8.24","0.26","0.26"
"64741409832403","Bathrobe","Min","0","0","187","0","0","0"
"64741409832403","Bathrobe","Sum","17.78","69","9980","189.52","6","6"
